"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02339V02812","County","UNIT","VALUE"
"HSA10","New House Registrations","1982","1982","23","Sligo","Number","137"
"HSA10","New House Registrations","1982","1982","24","Cavan","Number","35"
"HSA10","New House Registrations","1982","1982","25","Donegal","Number","73"
"HSA10","New House Registrations","1982","1982","26","Monaghan","Number","14"
"HSA10","New House Registrations","1983","1983","-","All Counties","Number","10830"
"HSA10","New House Registrations","1983","1983","01","Carlow","Number","99"
"HSA10","New House Registrations","1983","1983","02","Dublin","Number","4331"
"HSA10","New House Registrations","1983","1983","03","Kildare","Number","640"
"HSA10","New House Registrations","1983","1983","04","Kilkenny","Number","142"
"HSA10","New House Registrations","1983","1983","05","Laois","Number","68"
"HSA10","New House Registrations","1983","1983","06","Longford","Number","54"
"HSA10","New House Registrations","1983","1983","07","Louth","Number","251"
"HSA10","New House Registrations","1983","1983","08","Meath","Number","277"
"HSA10","New House Registrations","1983","1983","09","Offaly","Number","119"
"HSA10","New House Registrations","1983","1983","10","Westmeath","Number","183"
"HSA10","New House Registrations","1983","1983","11","Wexford","Number","63"
"HSA10","New House Registrations","1983","1983","12","Wicklow","Number","400"
"HSA10","New House Registrations","1983","1983","13","Clare","Number","345"
"HSA10","New House Registrations","1983","1983","14","Cork","Number","1511"
"HSA10","New House Registrations","1983","1983","15","Kerry","Number","222"
"HSA10","New House Registrations","1983","1983","16","Limerick","Number","586"
"HSA10","New House Registrations","1983","1983","17","Tipperary","Number","215"
"HSA10","New House Registrations","1983","1983","18","Waterford","Number","299"
"HSA10","New House Registrations","1983","1983","19","Galway","Number","460"
"HSA10","New House Registrations","1983","1983","20","Leitrim","Number","10"
"HSA10","New House Registrations","1983","1983","21","Mayo","Number","84"
"HSA10","New House Registrations","1983","1983","22","Roscommon","Number","77"
"HSA10","New House Registrations","1983","1983","23","Sligo","Number","180"
"HSA10","New House Registrations","1983","1983","24","Cavan","Number","30"
"HSA10","New House Registrations","1983","1983","25","Donegal","Number","150"
"HSA10","New House Registrations","1983","1983","26","Monaghan","Number","34"
"HSA10","New House Registrations","1984","1984","-","All Counties","Number","10422"
"HSA10","New House Registrations","1984","1984","01","Carlow","Number","64"
"HSA10","New House Registrations","1984","1984","02","Dublin","Number","4810"
"HSA10","New House Registrations","1984","1984","03","Kildare","Number","667"
